('UDVP', -6.0916317988063016e-05)
('UREVUB', 5.850634409450273e-05)
('OPTOSBY', -5.327869209126139e-05)
('CLD4', -5.297582082218217e-05)
('PNCWIA', -5.0335165565323914e-05)
('FSRCO', 4.945584355087011e-05)
('DCVT', 4.927750537270237e-05)
('CSHRP', -4.828975753604992e-05)
('OPTVOL', 4.791938287353171e-05)
('PPRPA', -4.440078411827031e-05)
('DTEA', -4.345517831655507e-05)
('UTXFED', -4.279588769140821e-05)
('PPOPCC', -4.2075451261947006e-05)
('NIINTPFC', -4.189288965883355e-05)
('CSHRW', 4.181284122151542e-05)
('DTEP', 4.132360580865954e-05)
('OPTEXD', -4.029743750216417e-05)
('UPSTKC', 3.846505770393392e-05)
('NIINTPFP', 3.8423028508466524e-05)
('PPIC', -3.7710512930111406e-05)
('DEPC', -3.564088255958442e-05)
('DPACLS', -3.3952235574369544e-05)
('DPACO', -3.346106260893652e-05)
('AFUDCC', -3.193636968336483e-05)
('AFUDCI', -3.178179098941241e-05)
('PPSC', -3.16927930562429e-05)
('MSA', 3.068005261380735e-05)
('CSHRSO', -3.0015763617394567e-05)
('PNCWIP', 2.96321208036604e-05)
('FUSEO', -2.9304941571915016e-05)
('AOCISECGL', -2.888631487848383e-05)
('DCVSR', -2.8283054495314985e-05)
('PPC', 2.8009217722529955e-05)
('XDP', 2.7430787377380472e-05)
('CDVC', 2.727735914610785e-05)
('TXTUBXINTIS', 2.7041105420243065e-05)
('AMC', -2.6899712932921064e-05)
('DFXA', -2.668277545536668e-05)
('RECTA', 2.656601747930143e-05)
('UDPFA', 2.579782267252259e-05)
('USUBDVP', 2.574111628135642e-05)
('UFRETSD', -2.56938771645966e-05)
('TXTUBMIN', 2.5078408981424457e-05)
('GLCEA', -2.492026770417599e-05)
('GDWLAM', -2.4908641063737386e-05)
('UOPRES', 2.4786871117004e-05)
('ACOMINC', -2.4660232418786024e-05)
('PPENO', -2.4433381341097075e-05)
('DCVSUB', -2.3965483564293566e-05)
('RDIPA', 2.3807646261318587e-05)
('AOCIPEN', 2.3207032537569508e-05)
('WCAPC', 2.305775245377978e-05)
('OPTPRCCA', 2.299065303296155e-05)
('AOCIDERGL', 2.2826340092579388e-05)
('PNCA', 2.267523454572984e-05)
('UTME', 2.168333264621937e-05)
('TXBCO', 2.1601437146825248e-05)
('PPENLS', 2.150650738580589e-05)
('PSTKC', 2.1424642189980803e-05)
('DCPSTK', -2.1089375453864356e-05)
('TXTUBXINTBS', 2.1035093198801952e-05)
('OPTEX', -2.086291645931812e-05)
('AOCIOTHER', 2.07909868298335e-05)
('OIADP', -1.9907020929021968e-05)
('DPVIR', -1.9148166102544995e-05)
('ACCRT', -1.899412755485222e-05)
('CIDERGL', 1.8939672883432068e-05)
('GLCEP', 1.8919501637154612e-05)
('TDC', -1.8563969280283726e-05)
('TXS', -1.8388306847857278e-05)
('PBARR', 1.813730321000538e-05)
('UCUSTAD', 1.791338090874209e-05)
('UTFOSC', 1.787933793454853e-05)
('OPTOSEY', 1.7408032583422946e-05)
('UXINTD', -1.713588913343153e-05)
('DPRET', 1.6955126609957683e-05)
('MRC4', 1.6583798362071467e-05)
('OPTLIFE', 1.6471897137281997e-05)
('FINXINT', -1.6204543594869336e-05)
('EBIT', 1.5736024408297133e-05)
('UTFDOC', -1.5723430266928753e-05)
('IBC', -1.5662318084364024e-05)
('ESOPDLT', 1.5136336917090376e-05)
('PRCA', 1.5075213287038883e-05)
('FINIVST', -1.4721726312963423e-05)
('OPTPRCEY', 1.4672498133617984e-05)
('ESOPR', -1.4432019519548724e-05)
